Company Name;Brief Description;Country
MFO FintechFinance LLP;Microfinance company providing short-term loans secured by motor vehicles. Legal entities: MFO FintechFinance LLP, Biznes Zaim MFO LLC. Part of IDF Eurasia group.;KZ
MFO OnlineKazFinance JSC;Microfinance organization operating under ""Solva"" brand. Legal name: MFO OnlineKazFinance JSC. Transitioning to a bank.;KZ
Midinerito;Mexican lending company providing payroll deduction loans to public sector employees. Legal name: FINPROSPERA S.A.P.I. DE C.V. SOFOM E.N.R.;MX
Mikro Kapital;Financial group focused on impact finance and microfinance. Legal entities: OCN Mikro Kapital Company SRL, MIKRO KAPITAL IFN SA, FE LLC «MIKRO LEASING». Operates through Luxembourg-based securitization funds.;LU
Monego;Real estate crowdfunding platform. Legal name: MONEGO SH.P.K.;FR
Mozipo Group;Financial services company utilizing technology for consumer lending. Legal entities: UAB Moment Credit, Mozipo IFN S.A. Brands: Moment Credit, Mozipo.;LT
Nera Capital;Leader in legal finance industry. Legal name: NERA CAPITAL FUNDING 2 DESIGNATED ACTIVITY COMPANY (DAC).;GB
Novaloans;UK-based company providing short-term, high-cost finance. Legal name: Novaloans Limited. Entered administration.;GB
Pinjam Yuk;Online personal loans platform. Legal name: PT KuaiKuai Tech Indonesia.;ID
Placet Group;Non-bank credit provider. Legal entities: Placet Group OÜ, UAB Nordecum. Issues secured and unsecured loans.;EE
Planet42;Car rental startup. Legal name: Inclusion South Africa (Pty) Ltd. Estonian business name: Inclusion OÜ.;ZA
Rapicredit;Online lending industry front-runner. Legal name: Compañía de Creditos Rapidos S.A.S.;CO
Rapido Finance;Provider of consumer finance loan services. Legal name: Rapido Finance S.L.U. Brands: LunaCredit, LunaCard.;ES
Revo Technology;Operator of a digital financial platform. Legal name: MFC Revo Technology LLC. Provides "buy-now-pay-later" (BNPL) payment plans.;RU
SOS Credit;Company providing consumer loans. Legal name: LLC “SOS CREDIT”.;UA
StarDana;Lending company listed on Mintos. Legal name: STAR DANA PTE. LTD. (Note: Research indicates this legal entity is a Singapore-based industrial supplier, not a lending company.);SG
Sun Finance;Latvian financial technology company. Legal name: Sun Finance Group. Operates as an online and mobile lending marketplace. Legal entities include: SIA ""EXTRA CREDIT"", DUCATOS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ, Limited Liability Partnership “Microfinance organization “Creditum””, Limited Liability Partnership “MICROFINANCE ORGANIZATION “SOFI FINANCE”” (СОФИ ФИНАНС), PRIMASTAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALНОСТЬЮ, Luma Finans AB.;LV
Swell;Financial institution specializing in secured business and automotive financing for SMEs. Legal name: Swell Finanzas en Movimiento SAPI de CV SOFOM ENR.;MX
Watu Credit;Non-bank finance company. Legal name: Watu Credit Uganda Limited. Offers asset financing for motorcycles and three-wheelers.;KE
